system:index,metric,percent,value_ha,.geo
0,Total Area,100,761449.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,Hansen Forest Cover 2000,90.7,690675.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
